id,first,last,team,deck,primary_pos,deck_team
2005,Terry,Adams,1,1998,1,Chicago Cubs
2010,Luis,Alicea,1,1998,4,Texas Rangers
2094,Darren,Bragg,1,1998,9,Boston Red Sox
2117,Greg,Cadaret,1,1998,1,Texas Rangers
2138,Bobby,Chouinard,1,1998,1,Arizona Diamondbacks
2145,Tony,Clark,1,1998,3,Detroit Tigers
2202,Cal,Eldred,1,1998,1,Milwaukee Brewers
2274,Ken,Griffey Jr.,1,1998,8,Seattle Mariners
2283,Eric,Gunderson,1,1998,1,Texas Rangers
2305,Rick,Helling,1,1998,1,Texas Rangers
2398,Ray,Lankford,1,1998,8,St. Louis Cardinals
2466,Greg,McCarthy,1,1998,1,Seattle Mariners
2483,Orlando,Merced,1,1998,3,Minnesota Twins
2487,Matt,Mieske,1,1998,7,Chicago Cubs
2501,Trey,Moore,1,1998,1,Montreal Expos
2530,Charlie,O’Brien,1,1998,2,Chicago White Sox
2587,Mark,Portugal,1,1998,1,Philadelphia Phillies
2624,Bill,Risley,1,1998,1,Toronto Blue Jays
2652,Rey,Sanchez,1,1998,6,San Francisco Giants
2686,Bobby,Smith,1,1998,6,Tampa Bay Devil Rays
2715,Shannon,Stewart,1,1998,9,Toronto Blue Jays
2716,Dave,Stieb,1,1998,1,Toronto Blue Jays
2730,Mike,Sweeney,1,1998,2,Kansas City Royals
2777,Tim,Wakefield,1,1998,1,Boston Red Sox
2818,Steve,Woodard,1,1998,1,Milwaukee Brewers
2039,James,Baldwin,2,1998,1,Chicago White Sox
2075,Willie,Blair,2,1998,1,New York Mets
2211,Tony,Eusebio,2,1998,2,Houston Astros
2233,John,Frascatore,2,1998,1,St. Louis Cardinals
2235,Brad,Fullmer,2,1998,3,Montreal Expos
2282,Ozzie,Guillen,2,1998,4,Atlanta Braves
2291,Joey,Hamilton,2,1998,1,San Diego Padres
2303,Charlie,Hayes,2,1998,5,San Francisco Giants
2346,Hideki,Irabu,2,1998,1,New York Yankees
2365,Bobby M.,Jones,2,1998,1,Colorado Rockies
2399,Mike,Lansing,2,1998,4,Colorado Rockies
2422,Esteban,Loaiza,2,1998,1,Texas Rangers
2425,Kenny,Lofton,2,1998,8,Cleveland Indians
2442,Mike,Magnante,2,1998,1,Houston Astros
2459,Sandy,Martinez,2,1998,2,Chicago Cubs
2469,Jack,McDowell,2,1998,1,Anaheim Angels
2531,Troy,O’Leary,2,1998,7,Boston Red Sox
2564,Danny,Patterson,2,1998,1,Texas Rangers
2580,Hipolito,Pichardo,2,1998,1,Kansas City Royals
2599,Tim,Raines,2,1998,7,New York Yankees
2601,Manny,Ramirez,2,1998,9,Cleveland Indians
2613,Edgar,Renteria,2,1998,6,Florida Marlins
2688,Pete,Smith,2,1998,1,Baltimore Orioles
2698,Stan,Spencer,2,1998,1,San Diego Padres
2812,Randy,Winn,2,1998,8,Tampa Bay Devil Rays
2006,Rick,Aguilera,3,1998,1,Minnesota Twins
2022,Garret,Anderson,3,1998,9,Anaheim Angels
2031,Brad,Ausmus,3,1998,2,Houston Astros
2053,Tim,Belcher,3,1998,1,Kansas City Royals
2102,Adrian,Brown,3,1998,8,Pittsburgh Pirates
2116,Orlando,Cabrera,3,1998,6,Montreal Expos
2229,Andy,Fox,3,1998,4,Arizona Diamondbacks
2254,Chris,Gomez,3,1998,6,San Diego Padres
2268,Shawn,Green,3,1998,9,Toronto Blue Jays
2371,Todd,Jones,3,1998,1,Detroit Tigers
2410,Curt,Leskanic,3,1998,1,Colorado Rockies
2484,Kent,Mercker,3,1998,1,St. Louis Cardinals
2496,Mike,Mohler,3,1998,1,Oakland Athletics
2548,David,Ortiz,3,1998,3,Minnesota Twins
2550,Donovan,Osborne,3,1998,1,St. Louis Cardinals
2639,Scott,Rolen,3,1998,5,Philadelphia Phillies
2651,Jesus,Sanchez,3,1998,1,Florida Marlins
2655,Julio,Santana,3,1998,1,Tampa Bay Devil Rays
2692,John,Snyder,3,1998,1,Chicago White Sox
2734,Kevin,Tapani,3,1998,1,Chicago Cubs
2748,Mike,Thurman,3,1998,1,Montreal Expos
2752,Bubba,Trammell,3,1998,7,Tampa Bay Devil Rays
2783,John,Wasdin,3,1998,1,Boston Red Sox
2809,Dan,Wilson,3,1998,2,Seattle Mariners
2826,Kevin,Young,3,1998,3,Pittsburgh Pirates
2054,Stan,Belinda,4,1998,1,Cincinnati Reds
2069,Sean,Bergman,4,1998,1,Houston Astros
2237,Andres,Galarraga,4,1998,3,Atlanta Braves
2296,Pete,Harnisch,4,1998,1,Cincinnati Reds
2324,Glenallen,Hill,4,1998,10,Chicago Cubs
2405,Aaron,Ledesma,4,1998,6,Tampa Bay Devil Rays
2415,Jon,Lieber,4,1998,1,Pittsburgh Pirates
2421,Graeme,Lloyd,4,1998,1,New York Yankees
2490,Alan,Mills,4,1998,1,Baltimore Orioles
2571,Neifi,Perez,4,1998,6,Colorado Rockies
2590,Jay,Powell,4,1998,1,Houston Astros
2634,Ivan,Rodriguez,4,1998,2,Texas Rangers
2178,Mike,DeJean,5,1998,1,Colorado Rockies
2199,Brian,Edmondson,5,1998,1,Florida Marlins
2230,Chad,Fox,5,1998,1,Milwaukee Brewers
2306,Todd,Helton,5,1998,3,Colorado Rockies
2312,Gil,Heredia,5,1998,1,Oakland Athletics
2409,Mark,Leiter,5,1998,1,Philadelphia Phillies
2557,Rafael,Palmeiro,5,1998,3,Baltimore Orioles
2605,Mike,Redmond,5,1998,1,Florida Marlins
2619,Shane,Reynolds,5,1998,1,Houston Astros
2793,Turk,Wendell,5,1998,1,New York Mets
2824,Dmitri,Young,5,1998,9,Cincinnati Reds
2032,Steve,Avery,6,1998,1,Boston Red Sox
2065,Mike,Benjamin,6,1998,4,Boston Red Sox
2112,Ellis,Burks,6,1998,8,San Francisco Giants
2144,Mark,Clark,6,1998,1,Chicago Cubs
2156,Ron,Coomer,6,1998,5,Minnesota Twins
2179,Carlos,Delgado,6,1998,3,Toronto Blue Jays
2181,Rich,DeLucia,6,1998,1,Anaheim Angels
2218,Mike,Fetters,6,1998,1,Anaheim Angels
2269,Tyler,Green,6,1998,1,Philadelphia Phillies
2280,Wilton,Guerrero,6,1998,4,Montreal Expos
2320,Orel,Hershiser,6,1998,1,San Francisco Giants
2322,Bob,Higginson,6,1998,9,Detroit Tigers
2373,Kevin,Jordan,6,1998,5,Philadelphia Phillies
2385,Jimmy,Key,6,1998,1,Baltimore Orioles
2416,Mike,Lieberthal,6,1998,2,Philadelphia Phillies
2499,Raul,Mondesi,6,1998,8,Los Angeles Dodgers
2565,Carl,Pavano,6,1998,1,Montreal Expos
2612,Mike,Remlinger,6,1998,1,Cincinnati Reds
2617,Dennis,Reyes,6,1998,1,Cincinnati Reds
2723,Scott,Sullivan,6,1998,1,Cincinnati Reds
2725,B.J.,Surhoff,6,1998,7,Baltimore Orioles
2750,Brett,Tomko,6,1998,1,Cincinnati Reds
2778,Matt,Walbeck,6,1998,2,Anaheim Angels
2790,Walt,Weiss,6,1998,6,Atlanta Braves
2794,Don,Wengert,6,1998,1,Chicago Cubs
2003,Bob,Abreu,7,1998,9,Philadelphia Phillies
2025,Alex,Arias,7,1998,4,Philadelphia Phillies
2056,Derek,Bell,7,1998,9,Houston Astros
2135,Mike,Cather,7,1998,1,Atlanta Braves
2212,Carl,Everett,7,1998,9,Houston Astros
2348,Mike,Jackson,7,1998,1,Cleveland Indians
2387,Curtis,King,7,1998,1,St. Louis Cardinals
2470,Chuck,McElroy,7,1998,1,Colorado Rockies
2510,Terry,Mulholland,7,1998,1,Chicago Cubs
2518,Denny,Neagle,7,1998,1,Atlanta Braves
2569,Eddie,Perez,7,1998,2,Atlanta Braves
2676,Paul,Shuey,7,1998,1,Cleveland Indians
2740,Amaury,Telemaco,7,1998,1,Arizona Diamondbacks
2084,Ricky,Bones,8,1998,1,Kansas City Royals
2187,Jerry,Dipoto,8,1998,1,Colorado Rockies
2391,Steve,Kline,8,1998,1,Montreal Expos
2495,Brian,Moehler,8,1998,1,Detroit Tigers
2526,Otis,Nixon,8,1998,8,Minnesota Twins
2630,Alex,Rodriguez,8,1998,6,Seattle Mariners
2646,Bret,Saberhagen,8,1998,1,Boston Red Sox
2660,Curt,Schilling,8,1998,1,Philadelphia Phillies
2738,Billy,Taylor,8,1998,1,Oakland Athletics
