first,last,team,deck
Jeff,Abbott,30,1998
Kurt,Abbott,22,1998
Bob,Abreu,7,1998
Juan,Acevedo,10,1998
Terry,Adams,1,1998
Rick,Aguilera,3,1998
Manny,Alexander,99,1998
Antonio,Alfonseca,12,1998
Edgardo,Alfonzo,30,1998
Luis,Alicea,1,1998
Jermaine,Allensworth,21,1998
Carlos,Almanzar,99,1998
Roberto,Alomar,99,1998
Sandy,Alomar,99,1998
Moises,Alou,26,1998
Gabe,Alvarez,99,1998
Wilson,Alvarez,20,1998
Rich,Amaral,30,1998
Ruben,Amaro,99,1998
Brady,Anderson,99,1998
Brian,Anderson,21,1998
Garret,Anderson,3,1998
Matt,Anderson,23,1998
Shane,Andrews,99,1998
Alex,Arias,7,1998
Rolando,Arrojo,23,1998
Andy,Ashby,12,1998
Paul,Assenmacher,28,1998
Pedro,Astacio,99,1998
Rich,Aurilia,11,1998
Brad,Ausmus,3,1998
Steve,Avery,6,1998
Manny,Aybar,99,1998
Bobby,Aysia,99,1998
Carlos,Baerga,99,1998
Jeff,Bagwell,9,1998
Harold,Baines,99,1998
Paul,Bako,23,1998
James,Baldwin,2,1998
Willie,Banks,18,1998
Travis,Baptist,99,1998
Brian,Barber,99,1998
Jeff,Barry,99,1998
Kimera,Bartee,99,1998
Jason,Bates,99,1998
Miguel,Batista,14,1998
Tony,Batista,21,1998
Danny,Bautista,99,1998
Trey,Beamon,99,1998
Rod,Beck,17,1998
Rich,Becker,99,1998
Matt,Beech,11,1998
Tim,Belcher,3,1998
Stan,Belinda,4,1998
David,Bell,11,1998
Derek,Bell,7,1998
Jay,Bell,99,1998
Albert,Belle,23,1998
Carlos,Beltran,22,1998
Adrian,Beltre,99,1998
Marvin,Benard,27,1998
Andy,Benes,29,1998
Armando,Benitez,13,1998
Yamil,Benitez,99,1998
Mike,Benjamin,6,1998
Shayne,Bennett,99,1998
Jason,Bere,28,1998
Dave,Berg,15,1998
Sean,Bergman,4,1998
Geronimo,Berroa,99,1998
Sean,Berry,16,1998
Brian,Bevil,99,1998
Dante,Bichette,28,1998
Craig,Biggio,23,1998
Willie,Blair,2,1998
Jeff,Blauser,99,1998
Mike,Blowers,99,1998
Doug,Bochtler,99,1998
Brian,Boehringer,22,1998
Tim,Bogar,99,1998
Wade,Boggs,99,1998
Brian,Bohanon,26,1998
Barry,Bonds,23,1998
Ricky,Bones,8,1998
Bobby,Bonilla,99,1998
Aaron,Boone,24,1998
Bret,Boone,99,1998
Pat,Borders,99,1998
Mike,Bordick,99,1998
Ricky,Bottalico,99,1998
Kent,Bottenfield,22,1998
Rafael,Bournigal,99,1998
Chad,Bradford,27,1998
Darren,Bragg,1,1998
Jeff,Branson,99,1998
Jeff,Brantley,11,1998
Brent,Brede,99,1998
Doug,Brocail,16,1998
Chris,Brock,25,1998
Rico,Brogna,99,1998
Scott,Brosius,28,1998
Adrian,Brown,3,1998
Brant,Brown,30,1998
Kevin,Brown,23,1998
Kevin L.,Brown,11,1998
Justin,Buaghman,99,1998
Mike,Buddie,99,1998
Damon,Buford,11,1998
Jay,Buhner,99,1998
Dave,Burba,30,1998
John,Burkett,99,1998
Ellis,Burks,6,1998
Jeromy,Burnitz,99,1998
Rich,Butler,99,1998
Paul,Byrd,18,1998
Orlando,Cabrera,3,1998
Greg,Cadaret,1,1998
Miguel,Cairo,99,1998
Mike,Cameron,99,1998
Ken,Caminiti,99,1998
Tom,Candiotti,22,1998
John,Cangelosi,99,1998
Jose,Canseco,99,1998
Chris,Carpenter,11,1998
Hector,Carrasco,30,1998
Joe,Carter,21,1998
Mike,Caruso,12,1998
Sean,Casey,21,1998
Vinny,Castilla,23,1998
Frank,Castillo,99,1998
Luis,Castillo,99,1998
Carlos,Castillo,21,1998
Juan,Castro,99,1998
Frank,Catalanotto,24,1998
Mike,Cather,7,1998
Domingo,Cedeno,99,1998
Roger,Cedeno,99,1998
Bobby,Chouinard,1,1998
Ryan,Christenson,99,1998
Jason,Christiansen,17,1998
Archi,Cianfrocco,99,1998
Jeff,Cirillo,13,1998
Dave,Clark,99,1998
Mark,Clark,6,1998
Tony,Clark,1,1998
Will,Clark,12,1998
Royce,Clayton,30,1998
Roger,Clemens,26,1998
Ken,Cloude,99,1998
Greg,Colbrunn,12,1998
Lou,Collier,99,1998
Bartolo,Colon,12,1998
David,Cone,26,1998
Jeff,Conine,99,1998
Dennis,Cook,19,1998
Ron,Coomer,6,1998
Joey,Cora,21,1998
Wil,Cordero,99,1998
Francisco,Cordova,27,1998
Marty,Cordova,99,1998
Jim,Corsi,14,1998
Craig,Counsell,99,1998
Tim,Crabtree,13,1998
Felipe,Crespo,99,1998
Rich,Croushore,24,1998
Deivi,Cruz,99,1998
Jose,Cruz Jr.,99,1998
Midre,Cummings,22,1998
Chad,Curtis,99,1998
Omar,Daal,15,1998
Mark,Dalesandro,13,1998
Johnny,Damon,20,1998
Vic,Darrensbourg,17,1998
Danny,Darwin,99,1998
Chili,Davis,99,1998
Eric,Davis,26,1998
Russ,Davis,99,1998
Mike,DeJean,5,1998
Carlos,Delgado,6,1998
David,Dellucci,99,1998
Rich,DeLucia,6,1998
Ryan,Dempster,99,1998
Delino,DeShields,29,1998
Elmer,Dessens,99,1998
Jason,Dickson,99,1998
Mike,DiFelice,99,1998
Jerry,DiPoto,8,1998
Gary,DiSarcina,20,1998
Doug,Drabek,99,1998
Darren,Dreifort,15,1998
Rob,Ducey,99,1998
Shawon,Dunston,99,1998
Todd,Dunwoody,99,1998
Ray,Durham,11,1998
Jermaine,Dye,99,1998
Damion,Easley,30,1998
Dennis,Eckersley,99,1998
Jim,Edmonds,9,1998
Brian,Edmondson,5,1998
Jim,Eisenreich,99,1998
Scott,Elarton,19,1998
Cal,Eldred,1,1998
Kevin,Elster,99,1998
Alan,Embree,11,1998
Juan,Encarnacion,25,1998
Scott,Erickson,24,1998
Darin,Erstad,26,1998
Kelvim,Escobar,28,1998
Bobby,Estalella,99,1998
Shawn,Estes,30,1998
Tony,Eusebio,2,1998
Carl,Everett,7,1998
Scott,Eyre,99,1998
Jorge,Fabregas,99,1998
Sal,Fasano,99,1998
Jeff,Fassero,10,1998
Tony,Fernandez,19,1998
Mike,Fetters,6,1998
Cecil,Fielder,99,1998
Chuck,Finley,9,1998
Steve,Finley,99,1998
John,Flaherty,99,1998
Darrin,Fletcher,29,1998
Bryce,Florie,22,1998
Cliff,Floyd,21,1998
Tom,Fordham,99,1998
Brook,Fordyce,11,1998
Keith,Foulke,20,1998
Andy,Fox,3,1998
Chad,Fox,5,1998
John,Franco,18,1998
Matt,Franco,21,1998
John,Frascatore,2,1998
Travis,Fryman,21,1998
Brad,Fullmer,2,1998
Gary,Gaetti,20,1998
Andres,Galarraga,4,1998
Brent,Gales,99,1998
Ron,Gant,99,1998
Rich,Garces,12,1998
Freddy,Garcia,99,1998
Karim,Garcia,99,1998
Nomar,Garciaparra,23,1998
Mark,Gardner,24,1998
Jason,Giambi,20,1998
Brian,Giles,99,1998
Bernard,Gilkey,99,1998
Ed,Giovanola,99,1998
Joe,Girardi,24,1998
Doug,Glanville,30,1998
Troy,Glaus,99,1998
Tom,Glavine,99,1998
Wayne,Gomes,30,1998
Chris,Gomez,3,1998
Alex,Gonzalez,99,1998
Jeremi,Gonzalez,99,1998
Juan,Gonzalez,14,1998
Luis,Gonzalez,99,1998
Dwight,Gooden,27,1998
Curtis,Goodwin,99,1998
Tom,Goodwin,20,1998
Tom,Gordon,26,1998
Mark,Grace,25,1998
Mike,Grace,99,1998
Tony,Graffanino,99,1998
Danny,Graves,23,1998
Craig,Grebeck,99,1998
Shawn,Green,3,1998
Tyler,Green,6,1998
Willie,Greene,20,1998
Rusty,Greer,19,1998
Seth,Greisinger,21,1998
Ben,Grieve,24,1998
Ken,Griffey Jr.,1,1998
Marquis,Grissom,11,1998
Buddy,Groom,22,1998
Mark,Grudzielanek,21,1998
Eddie,Guardado,24,1998
Vladimir,Guerrero,23,1998
Wilton,Guerrero,6,1998
Jose,Guillen,99,1998
Ozzie,Guillen,2,1998
Eric,Gunderson,1,1998
Mark,Guthrie,13,1998
Ricky,Gutierrez,99,1998
Juan,Guzman,20,1998
Tony,Gwynn,99,1998
Shane,Halter,99,1998
Bob,Hamelin,99,1998
Darryl,Hamilton,17,1998
Joey,Hamilton,2,1998
Mike,Hampton,17,1998
Erik,Hanson,99,1998
Pete,Harnisch,4,1998
Lenny,Harris,99,1998
Shigetoshi,Hasegawa,9,1998
Bill,Haselman,17,1998
Scott,Hatteberg,16,1998
LaTroy,Hawkins,30,1998
Charlie,Hayes,2,1998
Jimmy,Haynes,20,1998
Rick,Helling,1,1998
Todd,Helton,5,1998
Rickey,Henderson,99,1998
Bob,Henley,19,1998
Doug,Henry,25,1998
Pat,Hentgen,22,1998
Felix,Heredia,11,1998
Gil,Heredia,5,1998
Dustin,Hermanson,16,1998
Carlos,Hernandez,30,1998
Jose,Hernandez,99,1998
Livan,Hernandez,24,1998
Orlando,Hernandez,14,1998
Roberto,Hernandez,19,1998
Xavier,Hernandez,25,1998
Orel,Hershiser,6,1998
Richard,Hidalgo,17,1998
Bob,Higginson,6,1998
Glenallen,Hill,4,1998
Ken,Hill,22,1998
A.J.,Hinch,99,1998
Sterling,Hitchcock,26,1998
Denny,Hocking,99,1998
Trevor,Hoffman,13,1998
Chris,Hoiles,20,1998
Todd,Hollandsworth,99,1998
Dave,Hollins,99,1998
Darren,Holmes,28,1998
Tyler,Houston,22,1998
David,Howard,99,1998
Bob,Howry,17,1998
Trenidad,Hubbard,10,1998
John,Hudek,15,1998
Rex,Hudler,99,1998
Bobby,Hughes,99,1998
Todd,Hundley,99,1998
Brian,Hunter,99,1998
Butch,Huskey,99,1998
Raul,Ibanez,99,1998
Hideki,Irabu,2,1998
Mike,Jackson,7,1998
Ryan,Jackson,99,1998
John,Jaha,99,1998
Stan,Javier,11,1998
Gregg,Jefferies,30,1998
Reggie,Jefferson,27,1998
Geoff,Jenkins,99,1998
Derek,Jeter,12,1998
Doug,Johns,22,1998
Brian,Johnson,99,1998
Charles,Johnson,99,1998
Jason,Johnson,99,1998
Lance,Johnson,24,1998
Randy,Johnson,13,1998
John,Johnstone,16,1998
Andruw,Jones,24,1998
Bobby,Jones,21,1998
Bobby M.,Jones,2,1998
Chipper,Jones,28,1998
Chris,Jones,99,1998
Doug,Jones,19,1998
Doug,Jones,30,1998
Terry,Jones,99,1998
Todd,Jones,3,1998
Brian,Jordan,25,1998
Kevin,Jordan,6,1998
Wally,Joyner,29,1998
David,Justice,22,1998
Scott,Kamieniecki,99,1998
Scott,Karl,22,1998
Eric,Karros,24,1998
Mike,Kelly,99,1998
Pat,Kelly,99,1998
Roberto,Kelly,14,1998
Jason,Kendall,26,1998
Jeff,Kent,10,1998
Jimmy,Key,6,1998
Darryl,Kile,21,1998
Curtis,King,7,1998
Jeff,King,99,1998
Danny,Klassen,99,1998
Ryan,Klesko,24,1998
Steve,Kline,8,1998
Chuck,Knoblauch,99,1998
Paul,Konerko,99,1998
Mark,Kotsay,20,1998
Chad,Kreuter,99,1998
Tom,Lampkin,99,1998
Mark,Langston,99,1998
Ray,Lankford,1,1998
Mike,Lansing,2,1998
Andy,Larkin,99,1998
Barry,Larkin,99,1998
Matt,Lawton,11,1998
Ricky,Ledee,99,1998
Aaron,Ledesma,4,1998
Derek,Lee,99,1998
Travis,Lee,99,1998
Al,Leiter,23,1998
