id,first,last,t
6,Luis,Alicea,1
45,Darren,Bragg,1
72,Tony,Clark,1
149,Ken,Griffey Jr.,1
210,Ray,Lankford,1
248,Orlando,Merced,1
249,Matt,Mieske,1
262,Charlie,O’Brien,1
301,Rey,Sanchez,1
318,Bobby,Smith,1
328,Shannon,Stewart,1
332,Mike,Sweeney,1
111,Tony,Eusebio,2
128,Brad,Fullmer,2
154,Ozzie,Guillen,2
162,Charlie,Hayes,2
211,Mike,Lansing,2
221,Kenny,Lofton,2
234,Sandy,Martinez,2
263,Troy,O’Leary,2
281,Tim,Raines,2
282,Manny,Ramirez,2
286,Edgar,Renteria,2
376,Randy,Winn,2
11,Garret,Anderson,3
18,Brad,Ausmus,3
51,Adrian,Brown,3
58,Orlando,Cabrera,3
122,Andy,Fox,3
138,Chris,Gomez,3
144,Shawn,Green,3
269,David,Ortiz,3
297,Scott,Rolen,3
341,Bubba,Trammell,3
371,Dan,Wilson,3
381,Kevin,Young,3
8,Robbie,Alomar,4
82,Earle,Combs,4
86,Sam,Crawford,4
130,Andres,Galarraga,4
171,Glenallen,Hill,4
178,Monte,Irvin,4
180,Travis,Jackson,4
215,Aaron,Ledesma,4
250,Johnny,Mize,4
275,Neifi,Perez,4
295,Ivan,Rodriguez,4
307,Mike,Schmidt,4
335,Bill,Terry,4
44,Lou,Boudreau,5
54,Willard,Brown,5
116,Rick,Ferrell,5
132,Lou,Gehrig,5
164,Todd,Helton,5
204,Harmon,Killebrew,5
239,Bill,Mazeroski,5
240,Tommy,McCarthy,5
272,Rafael,Palmeiro,5
283,Mike,Redmond,5
314,Al,Simmons,5
379,Dmitri,Young,5
382,Ross,Youngs,5
34,Mike,Benjamin,6
57,Ellis,Burks,6
84,Ron,Coomer,6
97,Carlos,Delgado,6
153,Wilton,Guerrero,6
170,Bob,Higginson,6
191,Kevin,Jordan,6
218,Mike,Lieberthal,6
252,Raul,Mondesi,6
330,B.J.,Surhoff,6
352,Matt,Walbeck,6
360,Walt,Weiss,6
4,Bob,Abreu,7
15,Alex,Arias,7
29,Derek,Bell,7
46,Roger,Bresnahan,7
50,Dan,Brouthers,7
100,Martin,Dihigo,7
112,Carl,Everett,7
126,Frankie,Frisch,7
205,Ralph,Kiner,7
274,Eddie,Perez,7
291,Brooks,Robinson,7
317,Enos,Slaughter,7
322,Tris,Speaker,7
383,Robin,Yount,7
40,Wade,Boggs,8
59,Roy,Campanella,8
123,Nellie,Fox,8
142,Goose,Goslin,8
199,George,Kelly,8
261,Otis,Nixon,8
288,Sam,Rice,8
289,Cal,Ripken Jr.,8
294,Alex,Rodriguez,8
298,Edd,Roush,8
348,Mo,Vaughn,8
359,Lenny,Webster,8
375,Dave,Winfield,8
16,Richie,Ashburn,9
20,Jeff,Bagwell,9
78,Mickey,Cochrane,9
94,George,Davis,9
108,Jim,Edmonds,9
163,Harry,Heilmann,9
246,Joe,Medwick,9
251,Paul,Molitor,9
271,Orlando,Palmeiro,9
276,Tony,Perez,9
293,Jackie,Robinson,9
303,Benito,Santiago,9
340,Cristobal,Torriente,9
36,Yogi,Berra,10
60,Rod,Carew,10
119,Elmer,Flick,10
145,Hank,Greenberg,10
177,Trenidad,Hubbard,10
198,Joe,Kelley,10
203,Jeff,Kent,10
223,Javy,Lopez,10
238,Willie,Mays,10
319,Ozzie,Smith,10
355,Bobby,Wallace,10
372,Enrique,Wilson,10
373,Hack,Wilson,10
17,Rich,Aurilia,11
28,David,Bell,11
53,Kevin L.,Brown,11
55,Damon,Buford,11
106,Ray,Durham,11
121,Brook,Fordyce,11
150,Marquis,Grissom,11
181,Stan,Javier,11
213,Matt,Lawton,11
235,Tino,Martinez,11
324,Matt,Stairs,11
384,Todd,Zeile,11
12,Cap,Anson,12
64,Mike,Caruso,12
73,Will,Clark,12
79,Greg,Colbrunn,12
81,Jimmy,Collins,12
89,Kiki,Cuyler,12
175,Rogers,Hornsby,12
184,Hughie,Jennings,12
185,Derek,Jeter,12
229,Mickey,Mantle,12
336,Frank,Thomas,12
362,Zack,Wheat,12
363,Deacon,White,12
26,Jake,Beckley,13
70,Oscar,Charleston,13
71,Jeff,Cirillo,13
90,Mark,Dalesandro,13
104,Bobby,Doerr,13
135,Josh,Gibson,13
196,Wee Willie,Keeler,13
253,Mickey,Morandini,13
285,Pee Wee,Reese,13
304,Ron,Santo,13
309,Kevin,Sefcik,13
325,Willie,Stargell,13
361,Willie,Wells,13
21,Home Run,Baker,14
74,Fred,Clarke,14
99,Bill,Dickey,14
139,Juan,Gonzalez,14
157,Billy,Hamilton,14
179,Reggie,Jackson,14
201,Roberto,Kelly,14
216,Buck,Leonard,14
224,Mark,Loretta,14
231,Rabbit,Maranville,14
237,Brent,Mayne,14
254,Joe,Morgan,14
313,Gary,Sheffield,14
23,Dave,Bancroft,15
35,Dave,Berg,15
69,Frank,Chance,15
101,Joe,DiMaggio,15
159,Gabby,Hartnett,15
194,Al,Kaline,15
233,Edgar,Martinez,15
