id,first,last,t
386,Terry,Adams,1
425,Greg,Cadaret,1
433,Bobby,Chouinard,1
460,Cal,Eldred,1
496,Eric,Gunderson,1
506,Rick,Helling,1
571,Greg,McCarthy,1
589,Trey,Moore,1
635,Mark,Portugal,1
652,Bill,Risley,1
696,Dave,Stieb,1
722,Tim,Wakefield,1
744,Steve,Woodard,1
397,James,Baldwin,2
409,Willie,Blair,2
478,John,Frascatore,2
500,Joey,Hamilton,2
526,Hideki,Irabu,2
534,Bobby M.,Jones,2
555,Esteban,Loaiza,2
561,Mike,Magnante,2
572,Jack,McDowell,2
620,Danny,Patterson,2
630,Hipolito,Pichardo,2
686,Pete,Smith,2
692,Stan,Spencer,2
387,Rick,Aguilera,3
402,Tim,Belcher,3
537,Todd,Jones,3
549,Curt,Leskanic,3
579,Kent,Mercker,3
587,Mike,Mohler,3
611,Donovan,Osborne,3
667,Jesus,Sanchez,3
669,Julio,Santana,3
688,John,Snyder,3
703,Kevin,Tapani,3
711,Mike,Thurman,3
725,John,Wasdin,3
403,Stan,Belinda,4
408,Sean,Bergman,4
502,Pete,Harnisch,4
545,Sandy,Koufax,4
551,Jon,Lieber,4
554,Graeme,Lloyd,4
559,Greg,Maddux,4
574,Joe,McGinnity,4
583,Alan,Mills,4
636,Jay,Powell,4
699,Bruce,Sutter,4
718,Dazzy,Vance,4
447,Candy,Cummings,5
452,Mike,DeJean,5
458,Brain,Edmondson,5
469,Rollie,Fingers,5
476,Chad,Fox,5
510,Gil,Heredia,5
531,Walter,Johnson,5
547,Mark,Leiter,5
570,Christy,Mathewson,5
648,Shane,Reynolds,5
730,Turk,Wendell,5
741,Vic,Willis,5
396,Steve,Avery,6
435,Mark,Clark,6
453,Rich,DeLucia,6
468,Mike,Fetters,6
490,Tyler,Green,6
516,Orel,Hershiser,6
541,Jimmy,Key,6
621,Carl,Pavano,6
644,Mike,Remlinger,6
647,Dennis,Reyes,6
698,Scott,Sullivan,6
713,Brett,Tomko,6
731,Don,Wengert,6
431,Mike,Cather,7
525,Catfish,Hunter,7
527,Mike,Jackson,7
528,Ferguson,Jenkins,7
543,Curtis,King,7
573,Chuck,McElroy,7
593,Terry,Mulholland,7
598,Denny,Neagle,7
680,Paul,Shuey,7
706,Amaury,Telemaco,7
750,Cy,Young,7
413,Ricky,Bones,8
422,Jim,Bunning,8
427,Steve,Carlton,8
450,Leon,Day,8
454,Jerry,Dipoto,8
544,Steve,Kline,8
548,Bob,Lemon,8
586,Brian,Moehler,8
666,Bret,Saberhagen,8
672,Curt,Schilling,8
705,Billy,Taylor,8
721,Billy,Wagner,8
421,Three Finger,Brown,9
470,Chuck,Finley,9
488,Goose,Gossage,9
503,Shigetoshi,Hasegawa,9
540,Tim,Keefe,9
599,Jeff,Nelson,9
607,Omar,Olivares,9
622,Herb,Pennock,9
678,Scott,Service,9
684,Aaron,Small,9
685,Hilton,Smith,9
723,Donne,Wall,9
385,Juan,Acevedo,10
466,Jeff,Fassero,10
492,Burleigh,Grimes,10
582,Trever,Miller,10
592,Jamie,Moyer,10
654,Eppa,Rixey,10
663,Sean,Runyan,10
747,Early,Wynn,10
748,Esteban,Yan,10
401,Matt,Beech,11
416,Jeff,Brantley,11
428,Chris,Carpenter,11
461,Alan,Embree,11
509,Felix,Heredia,11
588,Jeff,Montgomery,11
606,Kirt,Ojala,11
628,Mark,Petkovsek,11
659,Rafael,Roque,11
660,Jose,Rosado,11
673,Jason,Schmidt,11
714,Steve,Trachsel,11
745,Tim,Worrell,11
389,Antonio,Alfonseca,12
394,Andy,Ashby,12
420,Ray,Brown,12
438,Bartolo,Colon,12
480,Rich,Garces,12
538,Addie,Joss,12
581,Dan,Miceli,12
604,C.J.,Nitkowski,12
626,Gaylord,Perry,12
653,Mariano,Rivera,12
724,Ed,Walsh,12
738,Mike,Williams,12
406,Armando,Benitez,13
441,Andy,Cooper,13
445,Tim,Crabtree,13
474,Rube,Foster,13
497,Mark,Guthrie,13
519,Trevor,Hoffman,13
530,Randy,Johnson,13
613,Satchel,Paige,13
614,Lance,Painter,13
640,Scott,Radinsky,13
664,Amos,Rusie,13
671,Bob,Scanlan,13
399,Miguel,Batista,14
443,Jim,Corsi,14
473,Big Bill,Foster,14
513,Orlando,Hernandez,14
577,Jim,Mecir,14
600,Robb,Nen,14
623,Troy,Percival,14
665,Nolan,Ryan,14
689,Warren,Spahn,14
720,Rube,Waddell,14
729,David,Wells,14
734,Gabe,White,14
448,Omar,Daal,15
455,Darren,Dreifort,15
482,Bob,Gibson,15
522,Waite,Hoyt,15
524,John,Hudek,15
564,Rube,Marquard,15
594,Mike,Mussina,15
602,Kid,Nichols,15
638,Paul,Quantrill,15
651,Ricardo,Rincon,15
704,Julian,Tavarez,15
715,Mike,Trombley,15
483,Tom,Glavine,16
511,Dustin,Hermanson,16
532,John,Johnstone,16
603,Phil,Niekro,16
649,Armando,Reynoso,16
676,Tom,Seaver,16
693,Jerry,Spradlin,16
701,Greg,Swindell,16
716,Ugueth,Urbina,16
717,Ismael,Valdes,16
400,Rod,Beck,17
434,Jason,Christiansen,17
444,Stan,Coveleski,17
449,Vic,Darrensbourg,17
467,Bob,Feller,17
501,Mike,Hampton,17
521,Bob,Howry,17
557,Derek,Lowe,17
627,Chris,Peters,17
632,Eddie,Plank,17
735,Rick,White,17
398,Willie,Banks,18
404,Chief,Bender,18
424,Paul,Byrd,18
436,John,Clarkson,18
477,John,Franco,18
499,Jesse,Haines,18
556,Albie,Lopez,18
558,Ted,Lyons,18
590,Mike,Morgan,18
625,Yorkis,Perez,18
657,Rich,Rodriguez,18
732,John,Wetteland,18
440,Dennis,Cook,19
451,Dizzy,Dean,19
456,Don,Drysdale,19
459,Scott,Elarton,19
465,Red,Faber,19
514,Roberto,Hernandez,19
535,Doug,Jones,19
552,Kerry,Lightenberg,19
553,Jose,Lima,19
609,Jesse,Orosco,19
633,Dan,Plesac,19
390,Wilson,Alvarez,20
475,Keith,Foulke,20
498,Juan,Guzman,20
505,Jimmy,Haynes,20
565,Dennis,Martinez,20
576,Brian,Meadows,20
596,Randy,Myers,20
615,Donn,Pall,20
641,Brad,Radke,20
643,Bryan,Rekar,20
708,Bob,Tewksbury,20
709,Justin,Thompson,20
733,Matt,Whisenant,20
391,Brian,Anderson,21
430,Carlos,Castillo,21
491,Seth,Greisinger,21
533,Bobby,Jones,21
542,Darryl,Kile,21
550,Al,Levine,21
605,Hideo,Nomo,21
668,Scott,Sanders,21
674,Pete,Schourek,21
691,Steve,Sparks,21
695,Dave,Stevens,21
743,Brad,Woodall,21
746,Jaret,Wright,21
411,Brian,Boehringer,22
414,Kent,Bottenfield,22
426,Tom,Candiotti,22
471,Bryce,Florie,22
493,Buddy,Groom,22
508,Pat,Hentgen,22
517,Ken,Hill,22
529,Doug,Johns,22
539,Scott,Karl,22
629,Andy,Pettitte,22
634,Sidney,Ponson,22
670,Tony,Saunders,22
683,Mike,Sirotka,22
392,Matt,Anderson,23
393,Rolando,Arrojo,23
489,Danny,Graves,23
546,Al,Leiter,23
567,Pedro,Martinez,23
575,Greg,McMichael,23
619,Steve,Parris,23
682,Bill,Simas,23
687,John,Smoltz,23
694,Russ,Springer,23
736,Bob,Wickman,23
446,Rich,Croushore,24
462,Scott,Erickson,24
481,Mark,Gardner,24
495,Eddie,Guardado,24
512,Livan,Hernandez,24
569,T.J.,Mathews,24
585,Dave,Mlicki,24
597,Charles,Nagy,24
618,Jim,Parque,24
631,Marc,Pisciotta,24
637,Bill,Pulsipher,24
661,Kirk,Rueter,24
727,Dave,Weathers,24
418,Chris,Brock,25
457,Dennis,Eckersley,25
472,Whitey,Ford,25
507,Doug,Henry,25
515,Xavier,Hernandez,25
563,Juan,Marichal,25
645,Al,Reyes,25
646,Carlos,Reyes,25
658,Kenny,Rogers,25
679,Jeff,Shaw,25
719,Dave,Veres,25
728,Mickey,Welch,25
412,Brian,Bohanon,26
432,Jack,Chesbro,26
437,Roger,Clemens,26
439,David,Cone,26
487,Tom,Gordon,26
518,Sterling,Hitchcock,26
562,Matt,Mantei,26
580,Jose,Mesa,26
639,Old Hoss,Radbourn,26
697,Todd,Stottlemyre,26
702,Jeff,Tabaka,26
749,Masato,Yoshii,26
388,Pete,Alexander,27
410,Bert,Blyleven,27
415,Chad,Bradford,27
442,Francisco,Cordova,27
485,Lefty,Gomez,27
486,Dwight,Gooden,27
