game_id,team_id,player_id,start,bat_order,pos,ab,r,h,rbi,so,bb,hbp,sac,sb,do,tr,hr
1,19,1101,1,1,7,4,1,1,0,2,0,0,0,0,1,0,0
1,19,1225,1,2,6,4,0,2,0,0,0,0,0,0,0,0,0
1,19,1208,1,3,3,4,1,1,1,0,0,0,0,0,0,0,0
1,19,1042,1,4,8,4,0,2,1,0,0,0,0,0,0,1,0
1,19,1114,1,5,5,3,0,0,0,1,0,0,0,0,0,0,0
1,19,1006,1,6,10,4,0,0,0,0,0,0,0,0,0,0,0
1,19,1190,1,7,2,4,0,0,0,2,0,0,0,0,0,0,0
1,19,1056,1,8,9,3,0,1,0,0,0,0,0,0,0,0,0
1,19,1188,1,9,4,3,0,1,0,1,0,0,0,0,0,0,0
1,23,2073,1,1,4,3,2,2,0,0,0,1,0,1,2,0,0
1,23,2793,1,2,8,4,1,1,1,1,1,0,0,0,0,0,0
1,23,2528,1,3,3,4,0,4,2,0,0,0,0,0,0,0,0
1,23,2081,1,4,7,4,0,0,0,1,0,0,0,0,0,0,0
1,23,2057,1,5,10,4,1,1,1,1,0,0,0,0,0,0,1
1,23,2686,1,6,9,3,1,1,1,1,1,0,0,0,0,0,1
1,23,2570,1,7,2,4,0,1,0,1,0,0,0,0,0,0,0
1,23,2239,1,8,6,4,1,1,0,1,0,0,0,0,0,0,0
1,23,2127,1,9,5,3,0,0,0,0,1,0,0,0,0,0,0
2,10,1031,1,1,4,6,0,1,0,0,0,0,0,0,0,0,0
2,10,1075,1,2,9,6,1,2,1,0,0,0,0,0,0,0,0
2,10,1146,1,3,8,4,0,0,0,0,2,0,0,0,0,0,0
2,10,1092,1,4,3,6,1,0,0,1,0,0,0,0,0,0,0
2,10,1235,1,5,10,6,2,2,3,0,0,0,0,0,0,0,1
2,10,1016,1,6,2,5,0,1,0,1,1,0,0,0,0,0,0
2,10,1121,1,7,7,5,1,2,1,0,1,0,0,0,0,2,0
2,10,1221,1,8,5,6,1,3,1,0,0,0,0,0,0,0,0
2,10,1200,1,9,6,5,0,0,0,0,0,0,0,0,0,0,0
2,16,1013,1,1,8,4,0,0,0,1,0,0,2,0,0,0,0
2,16,1066,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0
2,16,1157,1,3,3,6,3,4,4,0,0,0,0,0,1,0,2
2,16,1233,1,4,10,5,0,0,0,1,1,0,0,0,0,0,0
2,16,1180,1,5,9,5,1,2,0,1,0,1,0,0,0,0,0
2,16,1218,1,6,6,5,1,1,1,0,0,0,1,0,0,0,1
2,16,1195,1,7,5,5,0,2,1,0,1,0,0,0,1,0,0
2,16,1089,1,8,4,6,1,2,0,1,0,0,0,0,1,0,0
2,16,1034,1,9,2,6,1,2,1,0,0,0,0,0,1,0,0
3,28,1047,1,1,3,3,0,0,2,0,0,0,2,0,0,0,0
3,28,1051,1,2,6,5,0,0,0,1,0,0,0,0,0,0,0
3,28,1140,1,3,7,4,0,2,1,0,0,0,0,0,0,1,0
3,28,1001,1,4,9,1,0,0,0,1,0,1,0,0,0,0,0
3,28,1153,0,4,9,1,1,0,0,0,1,0,0,0,0,0,0
3,28,1170,1,5,8,4,0,1,0,0,0,0,0,0,0,0,0
3,28,1210,1,6,10,3,0,2,0,0,1,0,0,0,0,0,0
3,28,1216,1,7,5,4,0,1,1,1,0,0,0,0,0,0,0
3,28,1193,1,8,4,4,1,1,0,1,0,0,0,0,0,0,0
3,28,1074,1,9,2,4,2,2,0,0,0,0,0,0,0,1,0
3,7,1081,1,1,4,4,0,1,1,0,0,0,0,0,0,0,0
3,7,1198,1,2,9,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1024,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1204,1,4,8,3,0,0,0,0,1,0,0,0,0,0,0
3,7,1061,1,5,6,4,0,0,0,1,0,0,0,0,0,0,0
3,7,1242,1,6,7,3,0,0,0,1,1,0,0,0,0,0,0
3,7,1125,1,7,10,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1021,1,8,2,3,0,0,0,0,0,0,0,0,0,0,0
3,7,1179,1,9,5,3,1,0,0,0,0,0,0,0,0,0,0
4,3,2021,1,1,9,5,0,3,1,1,0,0,0,0,1,0,0
4,3,2030,1,2,2,4,0,0,0,0,1,0,0,0,0,0,0
4,3,2629,1,3,5,5,1,1,1,1,0,0,0,0,0,0,1
4,3,2741,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0
4,3,2539,0,4,10,3,0,0,0,1,1,0,0,0,0,0,0
