id,first,last,team,deck,primary_pos,deck_team
1001,Hank,Aaron,28,Hall Of Fame,9,Milwaukee Braves
1002,Pete,Alexander,27,Hall Of Fame,1,Philadelphia Phillies
1003,Robbie,Alomar,4,Hall Of Fame,4,Toronto Blue Jays
1004,Cap,Anson,12,Hall Of Fame,3,Chicago White Stockings
1005,Luis,Aparicio,27,Hall Of Fame,6,Chicago White Sox
1006,Luke,Appling,19,Hall Of Fame,6,Chicago White Sox
1007,Richie,Ashburn,9,Hall Of Fame,8,Philadelphia Phillies
1008,Earl,Averill,17,Hall Of Fame,8,Cleveland Indians
1009,Home Run,Baker,14,Hall Of Fame,5,Philadelphia Athletics
1010,Dave,Bancroft,15,Hall Of Fame,6,Philadelphia Phillies
1011,Ernie,Banks,18,Hall Of Fame,6,Chicago Cubs
1012,Jake,Beckley,13,Hall Of Fame,3,Pittsburgh Pirates
1013,Cool Papa,Bell,16,Hall Of Fame,8,St. Louis Stars
1014,Johnny,Bench,29,Hall Of Fame,2,Johnny Bench
1015,Chief,Bender,18,Hall Of Fame,1,Philadelphia Athletics
1016,Yogi,Berra,10,Hall Of Fame,2,New York Yankees
1017,Bert,Blyleven,27,Hall Of Fame,1,Minnesota Twins
1018,Wade,Boggs,8,Hall Of Fame,5,Boston Red Sox
1019,Jim,Bottomley,25,Hall Of Fame,3,St. Louis Cardinals
1020,Lou,Boudreau,5,Hall Of Fame,6,Cleveland Indians
1021,Roger,Bresnahan,7,Hall Of Fame,2,New York Giants
1022,George,Brett,26,Hall Of Fame,5,Kansas City Royals
1023,Lou,Brock,26,Hall Of Fame,7,St. Louis Cardinals
1024,Dan,Brouthers,7,Hall Of Fame,3,Buffalo Bisons
1025,Ray,Brown,12,Hall Of Fame,1,Homestead Grays
1026,Three Finger,Brown,9,Hall Of Fame,1,Chicago Cubs
1027,Willard,Brown,5,Hall Of Fame,8,Kansas City Monarchs
1028,Jim,Bunning,8,Hall Of Fame,1,Detroit Tigers
1029,Jesse,Burkett,25,Hall Of Fame,7,Cleveland Spiders
1030,Roy,Campanella,8,Hall Of Fame,2,Brooklyn Dodgers
1031,Rod,Carew,10,Hall Of Fame,4,Minnesota Twins
1032,Max,Carey,29,Hall Of Fame,8,Pittsburgh Pirates
1033,Steve,Carlton,8,Hall Of Fame,1,Philadelphia Phillies
1034,Gary,Carter,16,Hall Of Fame,2,Montreal Expos
1035,Orlando,Cepeda,18,Hall Of Fame,3,San Francisco Giants
1036,Frank,Chance,15,Hall Of Fame,3,Chicago Cubs
1037,Oscar,Charleston,13,Hall Of Fame,8,Pittsburgh Crawfords
1038,Jack,Chesbro,26,Hall Of Fame,1,New York Yankees
1039,Fred,Clarke,14,Hall Of Fame,7,Pittsburgh Pirates
1040,John,Clarkson,18,Hall Of Fame,1,Boston Braves
1041,Roberto,Clemente,17,Hall Of Fame,9,Pittsburgh Pirates
1042,Ty,Cobb,19,Hall Of Fame,8,Detroit Tigers
1043,Mickey,Cochrane,9,Hall Of Fame,2,Philadelphia Athletics
1044,Eddie,Collins,27,Hall Of Fame,4,Chicago White Sox
1045,Jimmy,Collins,12,Hall Of Fame,5,Boston Red Sox
1046,Earle,Combs,4,Hall Of Fame,8,New York Yankees
1047,Roger,Connor,28,Hall Of Fame,3,New York Giants
1048,Andy,Cooper,13,Hall Of Fame,1,Kansas City Monarchs
1049,Stan,Coveleski,17,Hall Of Fame,1,Cleveland Indians
1050,Sam,Crawford,4,Hall Of Fame,9,Detroit Tigers
1051,Joe,Cronin,28,Hall Of Fame,6,Boston Red Sox
1052,Candy,Cummings,5,Hall Of Fame,1,Hartford Dark Blues
1053,Kiki,Cuyler,12,Hall Of Fame,9,Chicago Cubs
1054,Ray,Dandridge,27,Hall Of Fame,5,Newark Eagles
1055,George,Davis,9,Hall Of Fame,6,New York Giants
1056,Andre,Dawson,19,Hall Of Fame,9,Montreal Expos
1057,Leon,Day,8,Hall Of Fame,1,Newark Eagles
1058,Dizzy,Dean,19,Hall Of Fame,1,St. Louis Cardinals
1059,Ed,Delahanty,17,Hall Of Fame,7,Philadelphia Phillies
1060,Bill,Dickey,14,Hall Of Fame,2,New York Yankees
1061,Martin,Dihigo,7,Hall Of Fame,6,Cuban Stars
1062,Joe,DiMaggio,15,Hall Of Fame,8,New York Yankees
1063,Larry,Doby,18,Hall Of Fame,8,Cleveland Indians
1064,Bobby,Doerr,13,Hall Of Fame,4,Boston Red Sox
1065,Don,Drysdale,19,Hall Of Fame,1,Los Angeles Dodgers
1066,Hugh,Duffy,16,Hall Of Fame,8,Boston Braves
1067,Dennis,Eckersley,25,Hall Of Fame,1,Oakland Athletics
1068,Johnny,Evers,29,Hall Of Fame,4,Chicago Cubs
1069,Buck,Ewing,25,Hall Of Fame,2,New York Giants
1070,Red,Faber,19,Hall Of Fame,1,Chicago White Sox
1071,Bob,Feller,17,Hall Of Fame,1,Cleveland Indians
1072,Rick,Ferrell,5,Hall Of Fame,2,Boston Red Sox
1073,Rollie,Fingers,5,Hall Of Fame,1,Oakland Athletics
1074,Carlton,Fisk,28,Hall Of Fame,2,Chicago White Sox
1075,Elmer,Flick,10,Hall Of Fame,9,Cleveland Indians
1076,Whitey,Ford,25,Hall Of Fame,1,New York Yankees
1077,Big Bill,Foster,14,Hall Of Fame,1,Chicago American Giants
1078,Rube,Foster,13,Hall Of Fame,1,Chicago American Giants
1079,Nellie,Fox,8,Hall Of Fame,4,Chciago White Sox
1080,Jimmie,Foxx,26,Hall Of Fame,3,Philadelphia Athletics
1081,Frankie,Frisch,7,Hall Of Fame,4,St. Louis Cardinals
1082,Pud,Galvin,28,Hall Of Fame,1,Buffalo Bisons
1083,Lou,Gehrig,5,Hall Of Fame,3,New York Yankees
1084,Charlie,Gehringer,25,Hall Of Fame,4,Detroit Tigers
1085,Bob,Gibson,15,Hall Of Fame,1,St. Louis Cardinals
1086,Josh,Gibson,13,Hall Of Fame,2,Homestead Grays
1087,Tom,Glavine,16,Hall Of Fame,1,Atlanta Braves
1088,Lefty,Gomez,27,Hall Of Fame,1,New York Yankees
1089,Joe,Gordon,16,Hall Of Fame,4,New York Yankees
1090,Goose,Goslin,8,Hall Of Fame,7,Washington Senators
1091,Goose,Gossage,9,Hall Of Fame,1,New York Yankees
1092,Hank,Greenberg,10,Hall Of Fame,3,Detroit Tigers
1093,Burleigh,Grimes,10,Hall Of Fame,1,Brooklyn Dodgers
1094,Lefty,Grove,28,Hall Of Fame,1,Philadelphia Athletics
1095,Tony,Gwynn,29,Hall Of Fame,9,San Diego Padres
1096,Chick,Hafey,18,Hall Of Fame,7,St. Louis Cardinals
1097,Jesse,Haines,18,Hall Of Fame,1,St. Louis Cardinals
1098,Billy,Hamilton,14,Hall Of Fame,8,Philadelphia Phillies
1099,Gabby,Hartnett,15,Hall Of Fame,2,Chicago Cubs
1100,Harry,Heilmann,9,Hall Of Fame,9,Detroit Tigers
1101,Rickey,Henderson,19,Hall Of Fame,7,Oakland Athletics
1102,Billy,Herman,17,Hall Of Fame,4,Chicago Cubs
1103,Pete,Hill,27,Hall Of Fame,8,Chicago American Giants
1104,Harry,Hooper,27,Hall Of Fame,9,Boston Red Sox
1105,Rogers,Hornsby,12,Hall Of Fame,4,St. Louis Cardinals
1106,Waite,Hoyt,15,Hall Of Fame,1,New York Yankees
1107,Carl,Hubbell,29,Hall Of Fame,1,New York Giants
1108,Catfish,Hunter,7,Hall Of Fame,1,Oakland Athletics
1109,Monte,Irvin,4,Hall Of Fame,7,Newark Eagles
1110,Reggie,Jackson,14,Hall Of Fame,9,Oakland Athletics
1111,Travis,Jackson,4,Hall Of Fame,5,New York Giants
1112,Ferguson,Jenkins,7,Hall Of Fame,1,Chicago Cubs
1113,Hughie,Jennings,12,Hall Of Fame,6,Baltimore Orioles
1114,Judy,Johnson,19,Hall Of Fame,5,Hilldale Daisies
1115,Walter,Johnson,5,Hall Of Fame,1,Washington Senators
1116,Addie,Joss,12,Hall Of Fame,1,Cleveland Indians
1117,Al,Kaline,15,Hall Of Fame,9,Detroit Tigers
1118,Tim,Keefe,9,Hall Of Fame,1,New York Giants
1119,Wee Willie,Keeler,13,Hall Of Fame,9,New York Yankees
1120,George,Kell,18,Hall Of Fame,5,Detroit Tigers
1121,Joe,Kelley,10,Hall Of Fame,7,Baltimore Orioles
1122,George,Kelly,8,Hall Of Fame,7,New York Giants
1123,King,Kelly,25,Hall Of Fame,9,Chicago White Stockings
1124,Harmon,Killebrew,5,Hall Of Fame,5,Minnesota Twins
1125,Ralph,Kiner,7,Hall Of Fame,7,Pittsburgh Pirates
1126,Chuck,Klein,26,Hall Of Fame,9,Philadelphia Phillies
1127,Sandy,Koufax,4,Hall Of Fame,1,Los Angeles Dodgers
1128,Nap,Lajoie,26,Hall Of Fame,4,Cleveland Indians
1129,Barry,Larkin,25,Hall Of Fame,6,Cincinnati Reds
1130,Tony,Lazzeri,18,Hall Of Fame,4,New York Yankees
1131,Bob,Lemon,8,Hall Of Fame,1,Cleveland Indians
1132,Buck,Leonard,14,Hall Of Fame,3,Homestead Grays
1133,Freddy,Lindstrom,17,Hall Of Fame,5,New York Giants
1134,Pop,Lloyd,17,Hall Of Fame,6,New York Lincoln Giants
1135,Ernie,Lombardi,18,Hall Of Fame,2,Cincinnati Reds
1136,Ted,Lyons,18,Hall Of Fame,1,Chicago White Sox
1137,Biz,Mackey,17,Hall Of Fame,2,Hilldale Giants
1138,Greg,Maddux,4,Hall Of Fame,1,Atlanta Braves
1139,Mickey,Mantle,12,Hall Of Fame,8,New York Yankees
1140,Heinie,Manush,28,Hall Of Fame,7,Washington Senators
1141,Rabbit,Maranville,14,Hall Of Fame,6,Boston Braves
1142,Juan,Marichal,25,Hall Of Fame,1,San Francisco Giants
1143,Rube,Marquard,15,Hall Of Fame,1,New York Giants
1144,Eddie,Mathews,15,Hall Of Fame,5,Milwaukee Braves
1145,Christy,Mathewson,5,Hall Of Fame,1,New York Giants
1146,Willie,Mays,10,Hall Of Fame,8,San Francisco Giants
1147,Bill,Mazeroski,5,Hall Of Fame,4,Pittsburgh Pirates
1148,Tommy,McCarthy,5,Hall Of Fame,5,Boston Braves
1149,Willie,McCovey,29,Hall Of Fame,3,San Francisco Giants
1150,Joe,McGinnity,4,Hall Of Fame,1,New York Giants
1151,Bid,McPhee,15,Hall Of Fame,4,Cincinnati Red Stockings
1152,Joe,Medwick,9,Hall Of Fame,7,St. Louis Cardinals
1153,Jose,Mendez,28,Hall Of Fame,10,Cuban Stars
1154,Johnny,Mize,4,Hall Of Fame,3,St. Louis Cardinals
1155,Paul,Molitor,9,Hall Of Fame,5,Milwaukee Brewers
