player_id,w,l,era,starts,sv,ip,hits,bb,so,hr
1002,27,13,1.88,39,2,353,291,69,192,5
1015,18,7,2.05,24,3,218,185,47,125,2
1017,16,11,2.79,33,0,255,219,66,193,17
1025,24,6,2.75,28,2,265,250,53,89,7
1026,23,9,1.65,29,6,278,217,53,128,2
1028,17,11,2.64,37,1,283,238,63,224,24
1033,20,10,2.49,35,0,272,221,81,233,18
1038,23,12,2.37,36,0,312,273,67,148,3
1040,37,18,2.62,56,1,495,153,129,223,16
1048,20,9,3.18,28,5,259,250,44,97,18
1049,21,12,2.5,35,2,287,265,71,97,5
1052,11,11,2.79,22,0,186,217,14,19,1
1057,17,7,2.78,28,3,228,185,67,128,10
1058,20,11,2.95,29,4,258,249,59,159,13
1061,13,10,2.92,19,2,180,162,41,90,9
1065,19,13,2.59,37,1,284,240,65,211,21
1070,20,13,2.62,33,2,284,264,81,118,6
1071,23,12,2.89,37,2,309,251,135,227,16
1073,7,7,2.3,0,28,101,84,27,83,5
1076,19,6,2.6,33,1,244,202,81,160,17
1077,22,10,2.3,31,4,282,231,75,153,12
1078,13,8,2.67,23,0,202,171,60,92,3
1082,33,23,2.54,56,0,497,511,56,159,9
1085,19,11,2.38,32,0,271,211,80,228,14
1088,18,10,2.88,30,1,246,216,93,148,12
1091,7,6,1.79,0,27,104,70,39,101,5
1093,21,11,2.92,33,1,289,283,79,109,8
1094,22,8,2.55,30,5,262,238,70,166,10
1097,17,10,3.09,29,1,237,240,62,74,10
1106,19,9,3.19,28,3,246,247,63,85,9
1107,21,10,2.54,33,4,289,265,50,143,16
1108,20,12,2.8,37,0,290,234,71,169,26
1112,21,13,2.95,38,0,300,260,56,228,28
1115,27,13,1.42,36,2,344,253,63,228,3
1116,20,11,1.74,31,1,279,224,39,109,2
1118,36,17,2.42,55,0,474,387,104,275,7
1127,20,9,2.36,34,1,258,186,73,273,19
1131,22,12,3.04,35,2,282,243,115,127,18
1136,17,10,2.91,26,1,226,221,57,58,10
1142,23,9,2.38,37,0,300,248,50,214,24
1143,19,10,2.62,31,2,250,228,60,138,7
1145,29,11,1.76,39,3,337,281,56,195,5
1150,25,12,2.41,37,2,338,305,82,111,4
1153,15,6,2.81,19,3,196,172,40,103,4
1159,21,12,2.51,33,2,279,236,106,177,9
1160,31,14,2.82,44,2,402,389,97,147,13
1161,17,13,2.65,35,2,277,239,67,177,19
1164,22,8,2.24,32,3,275,224,47,230,5
1165,21,10,2.41,36,0,286,227,87,164,19
1166,19,9,3.01,29,2,242,252,55,76,8
1168,20,13,2.5,38,0,299,247,74,206,17
1169,23,11,2.14,35,1,292,248,744,156,2
1171,34,16,2.25,50,0,454,412,75,201,8
1176,20,15,2.71,35,1,288,286,59,91,4
1178,21,12,2.92,37,2,304,277,57,152,28
1182,22,9,2.63,28,3,275,243,70,155,5
1184,19,9,3.25,30,0,245,230,83,118,18
1185,30,22,2.88,52,1,460,401,212,244,8
1186,20,10,2.06,32,1,259,191,90,113,2
1187,17,14,2.7,35,0,263,177,140,304,14
1194,20,9,2.29,35,0,280,214,70,239,19
1199,20,7,1.76,22,2,219,173,30,143,9
1202,22,10,2.65,34,2,277,243,72,127,21
1203,24,6,1.79,31,1,270,280,13,21,3
1207,6,6,2.28,0,30,100,79,28,83,6
1209,17,10,2.61,34,0,254,205,61,177,17
1217,19,12,2.82,32,0,269,240,70,198,11
1219,21,10,2.02,35,1,304,247,80,254,4
1222,24,16,1.71,38,5,361,281,68,220,3
1226,31,19,2.49,52,0,457,416,110,182,10
1230,8,7,1.88,4,13,123,86,35,91,7
1232,21,11,2.3,33,2,290,214,64,194,2
1234,24,13,2.31,38,1,325,278,96,138,4
1238,20,11,2.93,33,1,258,214,102,149,20
1240,31,11,2.28,41,1,377,338,66,148,7
