id,date,vis,home,com,v_r,v_h,v_e,h_r,h_h,h_e,w,l
1,29/03/2018,19,23,1,2,8,0,6,10,1,23,19
2,29/03/2018,10,16,1,6,11,1,7,13,1,16,10
3,29/03/2018,28,7,1,4,9,1,1,1,0,28,7
4,29/03/2018,3,6,1,4,10,1,3,7,0,3,6
5,29/03/2018,29,4,1,7,13,0,2,5,1,29,4
6,29/03/2018,18,8,1,4,10,0,1,4,1,18,8
7,29/03/2018,30,22,1,9,16,1,11,16,0,22,30
8,29/03/2018,9,2,0,,,,,,,,
9,29/03/2018,27,14,0,,,,,,,,
10,29/03/2018,12,26,0,,,,,,,,
11,29/03/2018,11,20,0,,,,,,,,
12,29/03/2018,13,1,0,,,,,,,,
13,29/03/2018,21,24,0,,,,,,,,
14,30/03/2018,5,25,0,,,,,,,,
15,30/03/2018,29,4,0,,,,,,,,
16,30/03/2018,18,8,0,,,,,,,,
17,30/03/2018,19,23,0,,,,,,,,
18,30/03/2018,27,14,0,,,,,,,,
19,30/03/2018,3,6,0,,,,,,,,
20,30/03/2018,21,24,0,,,,,,,,
21,30/03/2018,30,22,0,,,,,,,,
22,30/03/2018,9,2,0,,,,,,,,
23,30/03/2018,11,20,0,,,,,,,,
24,31/03/2018,17,15,0,,,,,,,,
25,31/03/2018,10,16,0,,,,,,,,
26,31/03/2018,5,25,0,,,,,,,,
27,31/03/2018,3,6,0,,,,,,,,
28,31/03/2018,30,22,0,,,,,,,,
29,31/03/2018,29,4,0,,,,,,,,
30,31/03/2018,13,1,0,,,,,,,,
31,31/03/2018,18,8,0,,,,,,,,
32,31/03/2018,28,7,0,,,,,,,,
33,31/03/2018,19,23,0,,,,,,,,
34,31/03/2018,27,14,0,,,,,,,,
35,31/03/2018,12,26,0,,,,,,,,
36,31/03/2018,21,24,0,,,,,,,,
37,31/03/2018,9,2,0,,,,,,,,
38,31/03/2018,11,20,0,,,,,,,,
