game_id,team_id,player_id,start,outs,h,r,er,k,bb,hbp,wp,2b,tr,hr,bf,w,l,sv,bs,hld
1,19,1165,1,24,10,6,6,6,4,1,0,2,0,2,38,0,1,0,0,0
1,23,2102,1,27,8,2,2,6,0,0,0,1,1,0,34,1,0,0,0,0
2,10,1209,1,23,9,6,3,4,1,1,0,4,0,3,34,0,0,0,0,0
2,10,2653,0,7,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2,10,2474,0,8,3,1,1,0,1,0,0,2,0,0,12,0,1,0,0,0
2,16,1203,1,30,11,6,3,1,3,0,0,0,2,1,44,0,0,0,0,0
2,16,2096,0,9,0,0,0,1,1,0,0,0,0,0,9,1,0,0,0,0
3,7,1240,1,27,9,4,4,4,2,1,0,0,2,0,38,0,1,0,0,0
3,28,1082,1,27,1,1,0,2,4,0,0,1,0,0,32,1,0,0,0,0
4,3,2541,1,21,6,3,2,4,4,0,0,0,0,1,30,0,0,0,0,0
4,3,2402,0,9,1,0,0,1,1,0,0,0,0,0,10,1,0,0,0,0
4,3,2006,0,3,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0
4,6,2378,1,24,6,2,2,4,4,0,0,1,0,1,32,0,0,0,0,0
4,6,2179,0,3,1,1,1,1,1,0,1,0,1,0,4,0,0,0,1,0
4,6,2713,0,6,3,1,1,1,1,0,0,0,0,1,9,0,1,0,0,0
5,29,1186,1,27,5,2,2,5,4,0,0,1,1,1,36,1,0,0,0,0
5,4,1138,1,11,6,5,4,5,1,0,0,0,0,1,19,0,1,0,0,0
5,4,2053,0,4,4,1,1,1,1,0,0,1,1,0,9,0,0,0,0,0
5,4,2581,0,12,3,1,1,2,1,0,0,0,1,0,15,0,0,0,0,0
6,18,1015,1,24,4,1,1,1,3,1,0,0,0,0,29,1,0,0,0,0
6,18,2784,0,3,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0
6,8,1033,1,26,10,4,4,5,3,1,1,4,0,0,40,0,1,0,0,0
6,8,2728,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,30,2108,1,16,13,11,10,3,0,0,0,2,0,4,30,0,1,0,0,0
7,30,2123,0,8,3,0,0,2,1,0,0,2,0,0,11,0,0,0,0,0
7,22,2648,1,16,9,6,6,5,8,0,1,0,1,1,33,0,0,0,0,0
7,22,2078,0,8,6,3,3,1,0,0,0,1,0,1,13,1,0,0,0,0
7,22,2089,0,3,1,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0
8,2,2340,1,24,11,5,5,5,4,1,0,2,1,1,30,0,1,0,0,0
8,2,2230,0,9,3,1,1,1,1,0,0,0,1,1,13,0,0,0,0,0
8,9,1026,1,27,8,1,1,5,1,0,0,1,0,0,35,1,0,0,0,0
9,27,1002,1,24,13,4,4,6,2,0,0,3,1,0,33,0,0,0,0,0
9,27,2532,0,3,3,2,2,0,1,0,0,1,0,0,7,1,0,0,1,0
9,27,2484,0,3,3,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0
9,14,1219,1,29,12,9,9,6,8,0,0,2,0,1,47,0,1,0,0,0
9,14,2159,0,1,4,3,3,0,0,0,0,0,0,1,5,0,0,0,0,0
